Wavelengths,Rrs_sr-1,MEM_PUW,MEM_LowC,MEM_CDOM,MEM_CDOM-Chl,MEM_Chl,MEM_TSM,MEM_TSM-CDOM,MEM_TSM-Chl,MEM_HighC
839,0.001645829,2.44E-06,0.000353073,0.000350575,0.00295035,0.002972941,0.012300454,0.01220853,0.015456867,0.015344448
840,0.001629747,2.41E-06,0.000349878,0.000347451,0.00292068,0.002942603,0.012197498,0.012108027,0.015325826,0.01521638
841,0.001611573,2.38E-06,0.000346982,0.000344619,0.002893702,0.002915011,0.012105225,0.012018013,0.01520787,0.015101166
842,0.001593413,2.35E-06,0.000344241,0.00034194,0.002868145,0.002888873,0.012018427,0.011933357,0.015096638,0.014992536
843,0.001578216,2.33E-06,0.000341542,0.0003393,0.002842982,0.002863147,0.011932869,0.011849879,0.014986948,0.014885375
844,0.001563273,2.30E-06,0.000338868,0.000336685,0.002818078,0.002837696,0.011847996,0.011767036,0.014878123,0.014779019
845,0.001548572,2.27E-06,0.000336248,0.000334121,0.002793685,0.002812775,0.011764878,0.011685884,0.014771472,0.014674761
846,0.001534107,2.25E-06,0.000333719,0.000331646,0.002770123,0.002788707,0.011684862,0.011607757,0.014668647,0.014574235
847,0.001520714,2.22E-06,0.000331303,0.000329282,0.002747595,0.002765698,0.011608834,0.011533532,0.014570732,0.014478518
848,0.001505081,2.20E-06,0.000329006,0.000327033,0.002726139,0.002743784,0.011536983,0.011463398,0.01447796,0.014387842
849,0.001488923,2.17E-06,0.000326862,0.000324935,0.002706056,0.002723269,0.011470613,0.01139865,0.014391931,0.014303792
850,0.001487247,2.15E-06,0.000324868,0.000322985,0.002687327,0.002704134,0.011409685,0.011339251,0.014312597,0.014226328
851,0.00148041,2.13E-06,0.000322943,0.000321102,0.002669225,0.002685641,0.011351141,0.011282181,0.014236213,0.014151748
852,0.001469771,2.11E-06,0.000321017,0.000319216,0.002651122,0.002667155,0.01129233,0.011224818,0.014159533,0.014076841
853,0.001452734,2.09E-06,0.000319028,0.000317269,0.002632501,0.002648152,0.011231038,0.011164976,0.014079848,0.013998928
854,0.001439635,2.06E-06,0.000316957,0.000315238,0.002613166,0.002628435,0.011166418,0.011101813,0.013996116,0.013916977
855,0.001426591,2.04E-06,0.000314814,0.000313136,0.002593232,0.002608119,0.011098931,0.011035785,0.013908903,0.013831547
856,0.001411391,2.02E-06,0.000312604,0.000310967,0.002572733,0.00258724,0.011028716,0.010967028,0.013818379,0.013742803
857,0.001401398,2.00E-06,0.000310357,0.00030876,0.002551932,0.002566064,0.010956884,0.010896642,0.013725904,0.013652093
858,0.001390972,1.97E-06,0.000308098,0.000306542,0.002531058,0.002544822,0.010884411,0.010825593,0.013632673,0.013560599
859,0.001378053,1.95E-06,0.000305827,0.00030431,0.002510108,0.002523511,0.010811282,0.010753865,0.013538666,0.013468304
860,0.001365321,1.93E-06,0.000303543,0.000302064,0.00248906,0.002502108,0.010737398,0.010681361,0.013443764,0.013375086
861,0.001353414,1.91E-06,0.000301243,0.000299802,0.002467909,0.002480609,0.010662739,0.010608061,0.01334794,0.01328092
862,0.001342617,1.89E-06,0.000298944,0.000297539,0.002446789,0.002459149,0.010587879,0.010534535,0.013251899,0.013186507
863,0.001329256,1.86E-06,0.000296659,0.00029529,0.002425819,0.002437847,0.01051334,0.010461298,0.013156279,0.013092478
864,0.001315826,1.84E-06,0.000294374,0.000293041,0.002404888,0.002416592,0.010438634,0.01038787,0.013060483,0.012998242
865,0.001302633,1.82E-06,0.000292068,0.000290769,0.00238379,0.002395175,0.010362867,0.010313364,0.012963415,0.012902713
866,0.00128968,1.80E-06,0.000289716,0.000288451,0.002362328,0.002373398,0.010285164,0.010236911,0.012864,0.012804825
867,0.001276948,1.78E-06,0.000287295,0.000286065,0.002340299,0.002351056,0.010204616,0.010157613,0.012761124,0.012703473
868,0.001264435,1.75E-06,0.000284779,0.000283583,0.002317482,0.002327926,0.01012023,0.010074481,0.012653567,0.012597445
869,0.001252145,1.73E-06,0.000282153,0.000280992,0.002293745,0.002303875,0.010031396,0.009986909,0.012540577,0.012485996
870,0.001237946,1.71E-06,0.000279424,0.000278297,0.00226915,0.002278966,0.009938362,0.009895144,0.012422458,0.012369423
871,0.001220933,1.68E-06,0.000276611,0.000275518,0.002243877,0.002253381,0.009841895,0.009799944,0.012300147,0.012248654
